timestamp,sensor_id,temperature,humidity
2026-09-01T12:15:00.000Z,SENS-05,22.10,56.20
2026-09-01T14:00:00.000Z,SENS-03,27.80,41.30
2026-09-01T12:15:00.000Z,SENS-04,27.10,39.10
2026-09-01T12:45:00.000Z,SENS-05,22.30,55.80
2026-09-01T14:15:00.000Z,SENS-04,28.20,37.50
2026-09-01T12:45:00.000Z,SENS-02,24.80,44.70
2026-09-01T13:00:00.000Z,SENS-03,27.20,42.10
2026-09-01T14:45:00.000Z,SENS-01,24.00,48.90
2026-09-01T13:00:00.000Z,SENS-04,27.80,38.10
2026-09-01T13:15:00.000Z,SENS-01,23.50,49.70
2026-09-01T15:00:00.000Z,SENS-02,25.90,43.00
2026-09-01T13:30:00.000Z,SENS-03,27.50,41.70
2026-09-01T13:45:00.000Z,SENS-04,28.00,37.80
2026-09-01T15:15:00.000Z,SENS-05,23.20,54.10
2026-09-01T13:45:00.000Z,SENS-01,23.70,49.30
2026-09-01T14:00:00.000Z,SENS-02,25.40,43.60
2026-09-01T15:45:00.000Z,SENS-03,28.10,40.60
2026-09-01T14:15:00.000Z,SENS-05,22.90,54.70
2026-09-01T14:30:00.000Z,SENS-01,23.90,49.00
2026-09-01T16:00:00.000Z,SENS-04,28.50,36.90
2026-09-01T14:30:00.000Z,SENS-02,25.70,43.20
2026-09-01T14:45:00.000Z,SENS-05,23.10,54.30
2026-09-01T16:30:00.000Z,SENS-01,24.40,48.20
2026-09-01T14:45:00.000Z,SENS-03,27.90,41.00
2026-09-01T15:00:00.000Z,SENS-04,28.30,37.20
2026-09-01T16:45:00.000Z,SENS-02,26.20,42.50
2026-09-01T15:15:00.000Z,SENS-01,24.10,48.60
2026-09-01T15:30:00.000Z,SENS-02,26.00,42.80
2026-09-01T17:15:00.000Z,SENS-05,23.60,53.40
2026-09-01T15:30:00.000Z,SENS-03,28.00,40.80
2026-09-01T15:45:00.000Z,SENS-04,28.40,37.00
2026-09-01T17:30:00.000Z,SENS-03,28.30,40.20
2026-09-01T16:00:00.000Z,SENS-05,23.30,53.90
2026-09-01T16:15:00.000Z,SENS-01,24.30,48.40
2026-09-01T17:45:00.000Z,SENS-04,28.60,36.50
2026-09-01T16:15:00.000Z,SENS-03,28.20,40.40
2026-09-01T16:30:00.000Z,SENS-04,28.50,36.80
2026-09-01T18:00:00.000Z,SENS-01,24.60,47.90
2026-09-01T16:45:00.000Z,SENS-05,23.50,53.60
2026-09-01T17:00:00.000Z,SENS-01,24.50,48.00
2026-09-01T17:00:00.000Z,SENS-02,26.30,42.30
2026-09-01T17:15:00.000Z,SENS-03,28.25,40.30
2026-09-01T17:30:00.000Z,SENS-04,28.55,36.70
2026-09-01T17:45:00.000Z,SENS-05,23.70,53.20
2026-09-01T18:00:00.000Z,SENS-02,26.40,42.10
